"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","Actual.as"
"38","Ministry of Housing","0.0","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","0.0","0.0","0.0","1.4","",""
"39","Agriculture Services","0.4","0.5","0.5","0.4","0.4","0.6","0.3","0.4","0.5","0.5","0.5","0.6","1.4","1.5","1.2","1.7","5.8","",""
"40","Tourist Fees","0.3","0.3","0.1","0.0","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.8","0.1","0.2","0.3","1.5","",""
"41","Telecommunication Fees","5.9","5.4","2.3","0.0","0.5","2.0","1.8","2.1","2.2","2.2","2.6","2.5","13.5","2.6","6.1","7.3","29.5","",""
"42","Ministry of Education","1.6","1.1","0.3","0.1","0.1","0.3","1.9","1.1","2.4","2.7","3.2","3.7","3.0","0.5","5.4","9.6","18.4","",""
"43","High Court of Justice Fees","5.2","5.2","2.3","0.2","1.5","4.0","1.9","3.8","4.9","5.0","5.1","3.8","12.8","5.8","10.6","13.9","43.0","",""
"44","Foreign Affairs","0.1","0.1","0.1","0.0","0.0","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.3","0.1","0.5","0.4","1.4","",""
"45","Licenses","0.3","0.3","0.3","0.1","0.2","0.3","2.1","32.8","125.7","48.0","0.5","24.6","0.9","0.5","160.6","73.2","235.2","",""
"46","Others","37.0","30.0","45.3","0.7","12.1","3.1","2.9","2.6","3.9","5.5","4.1","124.1","112.2","15.9","9.4","133.7","271.1","",""
"47","Training fees","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"48","2.  Investments Profits","0.5","40.6","0.1","0.0","0.3","0.0","0.2","0.0","0.0","52.9","0.0","0.0","41.2","0.3","0.2","53.0","94.7","",""
